what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1510587584448
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1510587584448
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1510587584448
java.specification.name,sysinfo,,,"Java Platform API Specification",1510587584448
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1510587584448
java.specification.version,sysinfo,,,"1.6",1510587584448
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1510587584448
java.version,sysinfo,,,"1.6.0_23",1510587584448
java.vm.info,sysinfo,,,"mixed mode",1510587584448
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1510587584448
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1510587584448
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1510587584448
java.vm.specification.version,sysinfo,,,"1.0",1510587584448
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1510587584448
java.vm.version,sysinfo,,,"19.0-b09",1510587584448
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1510587585898
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1510587589112
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1510587592154
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1510587592170
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1510587592778
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1510587595758
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1510587595898
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1510587596834
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1510587597895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1510587618487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1510587618580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1510587620109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1510587621466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1510587621591
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1510587621732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1510587622870
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1510587623884
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1510587624836
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1510587624992
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1510587625117
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1510587625242
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1510587625398
