what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1510314362155
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1510314362170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510314363624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510314366764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1510314367561
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1510314377733
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1510314390858
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1510314391170
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510314391201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510314395872
executed,command,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project.commands.quartus",1510314403318
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1510314403614
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1510314403630
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1510314403630
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1510314403630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510314404785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510314423277
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1510314423683
error,log,,,"Unable to validate connection settings.",1510314431831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510314431847
error,log,,,"Unable to validate connection settings.",1510314431862
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510314433548
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1510314439636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510314439714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1510314439760
