what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511165875533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511165875829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511165877920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511165894643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511165898621
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511165924954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511165929322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511165933487
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1511165933908
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1511165935047
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1511165941321
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1511165970293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1511165995424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1511165995580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511166022460
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1511166024051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511166028622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511166032054
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1511166032070
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1511166033006
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1511166034722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511166042849
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1511166046063
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1511166046203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511166049152
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1511166053941
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1511166054066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511166060555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511166063519
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1511166063941
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1511166064986
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1511166071308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511166335401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511166343310
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1511166344807
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1511166351129
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1511166364998
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1511166368991
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1511166377244
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1511166401455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511166414309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511166418630
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1511166570214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1511166589745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1511166590993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511166596328
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1511166597904
